Product,Quantity_Wednesday_25_March,Price,Quantity_Thursday_26_March,Purchased_Friday_27_March,Purchased_Tuesday_31_March,Removed_Tuesday_31_March,Quantity_Wednesday_1_April,Purchased_Thursday_2_April,Removed_Thursday_2_April,Quantity_Monday_6_April,sales_Quantity_Wednesday_25_March_to_Quantity_Thursday_26_March,sales_Quantity_Thursday_26_March_to_Quantity_Wednesday_1_April,sales_Quantity_Wednesday_1_April_to_Quantity_Monday_6_April,Category,purchase_price,price_source,unit_profit,total_sold,total_profit,dormant_capital,no_sales,daily_velocity,recommended_min_stock,needs_restock
Kiss grande 41.5g,3,30,3,0,0,0,3,0,0,3,0,0,0,Chocolates,26.09,Estimated,3.91,0,0.0,78.27,True,0.0,0.0,False
Kisses 76g,2,65,2,0,0,0,2,0,0,2,0,0,0,Chocolates,56.52,Estimated,8.48,0,0.0,113.04,True,0.0,0.0,False
Picard chocolate tequila,1,72,1,0,0,0,1,0,0,1,0,0,0,Chocolates,62.61,Estimated,9.39,0,0.0,62.61,True,0.0,0.0,False
Picard chocolate licor de café,1,72,1,0,0,0,1,0,0,1,0,0,0,Chocolates,62.61,Estimated,9.39,0,0.0,62.61,True,0.0,0.0,False
Gatucos 240g,2,110,2,0,0,0,2,0,0,2,0,0,0,Chocolates,95.65,Estimated,14.35,0,0.0,191.3,True,0.0,0.0,False
Ferrero 24pz 300g,2,240,2,0,0,0,2,0,0,2,0,0,0,Chocolates,208.7,Estimated,31.3,0,0.0,417.4,True,0.0,0.0,False
Ferrero 4pz 50g,1,49,1,0,0,0,1,3,0,3,0,0,1,Chocolates,42.61,Estimated,6.39,1,6.39,0.0,False,0.08,0.24,False
Ferrero 10pz 125g,3,115,3,0,0,0,1,0,0,1,0,2,0,Chocolates,100.0,Estimated,15.0,2,30.0,0.0,False,0.17,0.51,False
Ferrero 8pz 100g,3,90,3,0,0,0,3,3,0,3,0,0,3,Chocolates,78.26,Estimated,11.74,3,35.22,0.0,False,0.25,0.75,False
M&M's 6 pack,1,0,1,0,0,0,1,0,0,1,0,0,0,Chocolates,0.0,Estimated,0.0,0,0.0,0.0,True,0.0,0.0,False
